year,natural gas CCS,natural gas,oil CCS,oil,coal CCS,coal,nuclear,renewables,biomass,biomass CCS,dac process heat
2010,0.0,117.94596548785437,0.0,177.94539097012938,0.0,145.6889279843741,10.331026285565953,14.227133444047988,54.21828855671491,0.0,0.0
2015,0.0,131.37870256212886,0.0,187.49322870274503,0.0,168.61396210654388,11.199871281722217,15.517981954025533,55.87193325788242,0.0,0.0
2020,0.0,145.81538450744256,0.0,200.6052654269564,0.0,191.2033613663209,12.215758876966516,17.141829755673278,59.959105231478574,0.0,0.0
2025,20.552812798567377,119.96757552991257,8.705896549672728,196.15449814681995,22.515351452414247,103.19207600195028,24.723619667190977,26.733326839835335,83.97861723462975,14.944867500842474,0.0
2030,47.99878383634013,100.93053874586269,17.241502355671333,187.4107461121092,51.9094997225711,32.496954612644465,41.349775272202095,40.806743630947956,76.30092089048902,61.92439263118389,0.0
2035,72.86132367722072,71.54677535364307,23.612900094594835,161.8343633552311,66.8118761682407,9.570226222451591,55.86722210298442,55.57634052459702,56.914827323976084,154.6421840382584,1.68846e-09
2040,89.87119874025063,75.899285552979,22.982260679143966,146.71946571677063,72.22912406878343,6.939160322700182,64.92126339385797,68.29917407708619,50.075716992267004,183.86606478123304,8.907811984213284
2045,102.79426560289397,108.95269282830697,24.350939491988353,145.06261909189345,75.68953415596974,6.870102204878597,70.31778463225429,80.99899823310706,47.382656081017615,189.88286733982918,34.7665025581841
2050,112.33140732476403,128.32009261933686,26.423077422753515,145.7446297264317,78.3237275699417,6.635972696780963,75.91869629333857,92.71472033411479,44.356201169381784,192.3786982716476,46.66856193281978
2055,122.39982759812908,146.5244901657899,25.926410317422672,148.7056105829584,80.26875177538696,6.3199958407792804,84.10829357888674,101.75118330017162,41.93231484508293,189.73330805439048,58.3343598565565
2060,134.7523606196408,159.879296719755,21.148021450370774,149.40250744714396,83.7398435295044,6.052889264061557,92.34818783238512,109.79596705322672,39.62097654879643,186.13157632929335,64.213399163816
2065,146.92911530226985,176.81047983043808,15.78001134125648,152.47724881739694,85.83168062454395,5.7900369067237865,100.32433681518705,117.55488126765317,37.23151569145462,181.57401984050412,71.28250379715047
2070,143.96049502026386,195.0531656719379,11.89442297187217,153.22888954609448,88.8951994873081,5.557739298005574,107.81724391105078,129.16866202645704,34.86630726857357,178.6265923606054,76.6780976526611
2075,133.0500551815614,212.37876874046947,8.751434488987067,148.79570920847712,93.05481804467115,5.3217981458736165,114.07727484572705,143.78152921937414,32.315656715985654,178.23428001014602,79.26755817228552
2080,122.79311688709136,229.3814143103141,6.590456543769599,142.40112263618073,96.58468065013805,5.06665963497617,120.05020409557858,157.22009072312733,29.790188289707984,179.17651694178883,81.12863442362892
2085,119.68801214641029,243.07230477801681,5.517281155507568,137.0079905223605,91.17700045837731,4.850930984919988,118.4490315560785,174.6073536192816,27.012233360860634,179.94352401337574,81.87571049132858
2090,121.01354419461912,254.17976169952306,4.765071281751188,133.06944487005416,80.50196771184382,4.611618990894216,113.11710158261009,193.12612313863428,24.394344096712274,179.2773287449632,82.53941035400253
2095,122.38843408786529,263.4212775791016,3.8542648654984815,129.89132182778982,75.31662931159639,4.30449956922279,108.37345589795572,208.47420590375737,22.38519786033853,177.20587609265976,84.41335927552426
2100,121.41686044615183,270.4873572869245,3.3382502027034646,128.86105638592952,74.19594147556052,4.0385156327910785,106.35039834405008,218.49094459226097,20.315877845238163,177.1735371039231,85.22629908220874
