year,natural gas CCS,natural gas,oil CCS,oil,coal CCS,coal,nuclear,renewables,biomass,biomass CCS,dac process heat
2010,0.0,117.9460301151312,0.0,177.94636542057748,0.0,145.6889279843741,10.331026285565953,14.227133444047988,54.21903194226005,0.0,0.0
2015,0.0,131.38045672867108,0.0,187.49720891480754,0.0,168.6150068822736,11.199889906355452,15.51803121187403,55.87406250523969,0.0,0.0
2020,0.0,145.8243899786271,0.0,200.61182131048474,0.0,191.20779351781277,12.21578760728262,17.14191477553115,59.96466143916851,0.0,0.0
2025,20.554030570418227,119.97356377089766,8.70575495857338,196.15866543731872,22.517122718204728,103.19647213652495,24.72377377547775,26.73343537367365,84.0020783228293,14.948453496356544,0.0
2030,48.00080868067593,100.93500042640574,17.241232721953867,187.41260079074382,51.911790268472394,32.49926092660577,41.34998043834799,40.80679014967744,76.31977387125616,61.93176747941042,8.42943e-10
2035,71.4147642514522,100.05251031188885,21.35060053676632,171.17652700594627,66.81204631166139,13.962824872158842,52.86014576896074,53.78870371828732,65.80893365582442,125.0636716662669,16.1182733053607
2040,85.64714463182298,133.55082887941703,21.681030807777468,170.3933084024495,74.66263961896024,13.917364837174409,58.94093166171295,63.14013728164285,60.86206745708871,140.41473606154423,42.55711617456861
2045,97.29333146964109,157.51688236006598,22.709859206909822,170.87452803172673,79.91141752083121,13.498919475093956,64.17414047453771,73.80903246407898,55.94512757534012,151.06043237942947,58.94342666267935
2050,107.95357323321169,171.68120149616678,21.861588015155746,168.3283142473783,82.69232450226724,12.675073432324504,69.46834020080972,85.2460912963131,52.5696796319511,155.70775573856605,63.7565529995059
2055,119.84199236918181,186.5326481349439,20.51621886446088,168.83636950799308,86.64436631463181,12.102162732614715,75.8226663583309,93.41222954931936,49.67835744825189,156.62377817203796,69.52537663313723
2060,131.33815842891778,197.81010401916274,18.014122070672478,170.6205803154621,92.06841327629014,11.432790507612893,83.56949812743864,100.07405398924246,47.77905425034382,154.26848518745996,73.37127780125131
2065,140.59481501276173,210.14240699712693,14.180089691201802,172.8679985778366,96.55324265211227,10.822884363071651,91.08366709170431,108.10452461521258,46.8065796489775,149.86163247608695,77.5669931364901
2070,134.53774361563106,226.28250224174647,10.792518956219725,171.5442775003099,101.12700869740186,10.313327069527672,98.02028572515115,120.90318312565707,45.544518953103186,147.5362004083637,80.37701904925385
2075,122.52820933625021,243.35735010759868,8.517877088877363,166.52046724870522,106.35052184530682,9.60442480995679,104.28029314024263,135.68964502521106,43.1077092738782,148.38089539137778,81.46800389763716
2080,112.27601361237932,258.655438959179,6.8543747382552285,161.22341390343047,110.7060402704927,8.877761447466824,109.700419357056,149.17511837028752,40.47155846654809,150.30566931886054,82.16602384371286
2085,110.55021069133966,271.68422837236125,5.776019594474803,156.96329454939215,103.0040554792488,8.501007831741342,107.46028558416498,167.13076295823754,37.66907444160332,151.43346849807952,82.57607501496074
2090,111.6695106126937,281.47644858952776,4.913421867608964,153.74106051547153,89.81601614850806,8.022787318433663,102.79047544946327,186.66813921107104,35.77523030332702,149.70313467905746,83.20761102786201
2095,110.18869365573178,287.92395263954063,4.095442401553177,152.3671531814324,83.72947402526357,7.400477657376744,100.41318188877636,202.03840429401845,34.26343909421921,147.42544520969213,84.23364724516676
2100,109.69587128953208,298.04201328848364,3.740129583484972,154.1629766570689,82.16953611822271,6.98125658711908,99.9529457772732,210.08724831625383,30.228015747878388,148.0420983301154,85.52647455022378
